,School Name
0,中山大学
1,暨南大学
2,华南理工大学
3,华南农业大学
4,广州医科大学
5,广州中医药大学
6,广东药科大学
7,华南师范大学
8,广州体育学院
9,广州美术学院
10,星海音乐学院
11,广东技术师范大学
12,广东财经大学
13,广州大学
14,广州航海学院
15,广东警官学院
16,仲恺农业工程学院
17,广东金融学院
18,广东工业大学
19,广东外语外贸大学
20,南方医科大学
21,广东第二师范学院
22,广东轻工职业技术大学
23,广东白云学院
24,广东培正学院
25,广州城市理工学院
26,广州软件学院
27,广州南方学院
28,广东外语外贸大学南国商学院
29,广州华商学院
30,华南农业大学珠江学院
31,广州理工学院
32,广州华立学院
33,广州应用科技学院
34,广州商学院
35,广州工商学院
36,广州科技职业技术大学
37,广州新华学院
38,香港科技大学（广州）
39,广东交通职业技术学院
40,广东水利电力职业技术学院
41,广东南华工商职业学院
42,广州民航职业技术学院
43,广州番禺职业技术学院
44,广东农工商职业技术学院
45,广东科学技术职业学院
46,广东食品药品职业学院
47,广东行政职业学院
48,广东体育职业技术学院
49,广东建设职业技术学院
50,广东女子职业技术学院
51,广东机电职业技术学院
52,广东邮电职业技术学院
53,广东工贸职业技术学院
54,广东司法警官职业学院
55,广东省外语艺术职业学院
56,广东文艺职业学院
57,广州体育职业技术学院
58,广州工程技术职业学院
59,广东理工职业学院
60,广州城市职业学院
61,广东工程职业技术学院
62,广州铁路职业技术学院
63,广东科贸职业学院
64,广州科技贸易职业学院
65,广东青年职业学院
66,广东艺术职业学院
67,广东生态工程职业学院
68,广州卫生职业技术学院
69,广州幼儿师范高等专科学校
70,私立华联学院
71,广州康大职业技术学院
72,广东岭南职业技术学院
73,广州涉外经济职业技术学院
74,广州南洋理工职业学院
75,广州现代信息工程职业技术学院
76,广州华南商贸职业学院
77,广州华立科技职业学院
78,广州珠江职业技术学院
79,广州松田职业学院
80,广州城建职业学院
81,广州华商职业学院
82,广州华夏职业学院
83,广州东华职业学院
